synset,pos,gloss,emotion
SID-01313262-A,adjective,"arousing or provoking laughter; ""an amusing film with a steady stream of pranks and pratfalls""; ""an amusing fellow""; ""a comic hat""; ""a comical look of surprise""; ""funny stories that made everybody laugh""; ""a very funny writer""; ""it would have been laughable if it hadn't hurt so much""; ""a mirthful experience""; ""risible courtroom antics""",like
SID-01809920-V,verb,be envious of; set one's heart on,disgust
SID-00475055-R,adverb,in the manner of one who is surprised,surprise
SID-01520244-A,adjective,"lowercase; ""little a""; ""small a""; ""e.e.cummings's poetry is written all in minuscule letters""",disgust
SID-01248355-V,verb,"come off in flakes or thin small pieces; ""The paint in my house is peeling off""",disgust
SID-07399213-N,noun,admiration for women,like
SID-05088861-N,noun,the property of providing useful assistance,like
SID-02513941-A,adjective,"depleted of strength or energy; ""tired mothers with crying babies""; ""too tired to eat""",disgust
SID-04599129-N,noun,a friendly disposition,like
SID-02649278-A,adjective,"disposed or inclined toward; ""a willing participant""; ""willing helpers""",like
SID-05058972-N,noun,something that is an indulgence rather than a necessity,love
SID-02252938-V,verb,"seize and take control without authority and possibly with force; take as one's right or possession; ""He assumed to himself the right to fill all positions in the town""; ""he usurped my rights""; ""She seized control of the throne after her husband died""",disgust
SID-07253934-N,noun,"a victory (as in a race or other competition); ""he was happy to get the win""",like
SID-00958613-A,adjective,"highly excited; ""a fevered imagination""",ambiguous
SID-06582579-N,noun,a proposal for an appropriate course of action,anticipation
SID-01436768-A,adjective,of large size for its weight,disgust
SID-01643792-A,adjective,"not neurotic; ""successful mothers--mothers with unneurotic children""; ""he's the most unneurotic person I know""",calmness
SID-02045447-V,verb,show submission or fear,fear
SID-01749649-V,verb,"cause to feel sure; give reassurance to; ""The airline tried to reassure the customers that the planes were safe""",calmness
SID-07402598-N,noun,a lack of gratitude,like
SID-07373432-N,noun,"an unsuccessful ending to a struggle or contest; ""it was a narrow defeat""; ""the army's only defeat""; ""they suffered a convincing licking""",sadness
SID-01687593-A,adjective,"for the purpose of attack rather than defense; ""offensive weapons""",fear
SID-00432632-V,verb,"make (more) diverse; ""diversify a course of study""",anticipation
SID-01739623-A,adjective,"marked by an uncommon quality; especially superlative or extreme of its kind; ""what is so rare as a day in June""-J.R.Lowell; ""a rare skill""; ""an uncommon sense of humor""; ""she was kind to an uncommon degree""",ambiguous
SID-14343205-N,noun,a slight wetness,disgust
SID-02623654-A,adjective,"giving pleasure or satisfaction or received with pleasure or freely granted; ""a welcome relief""; ""a welcome guest""; ""made the children feel welcome""; ""you are welcome to join us""",like
SID-02103035-V,verb,"pulsate or pound with abnormal force; ""my head is throbbing""; ""Her heart was throbbing""",disgust
SID-13083724-N,noun,(law) a transfer of property by deed of conveyance,anticipation
SID-01413290-A,adjective,"causing or suggestive of sorrow or gloom; ""a gloomy outlook""; ""gloomy news""",sadness
SID-05555824-N,noun,exceptional creative ability,anticipation
SID-01413825-A,adjective,"characterized by or causing or expressing sadness; ""growing more melancholy every hour""; ""her melancholic smile""; ""we acquainted him with the melancholy truth""",sadness
SID-05780338-N,noun,"a general interest that leads people to want to know more; ""She was the center of attention""",ambiguous
SID-00357122-R,adverb,"in a heartless manner; ""she behaves rather heartlessly toward her admirers""",fear
SID-00217383-R,adverb,"with good sense or in a reasonable or intelligent manner; ""he acted sensibly in the crisis""; ""speak more sanely about these affairs""; ""acted quite reasonably""",anticipation
SID-10049140-N,noun,a person who makes deceitful pretenses,disgust
SID-00367111-R,adverb,showing remorse,sadness
SID-14110919-N,noun,"(medicine) any objective evidence of the presence of a disorder or disease; ""there were no signs of asphyxiation""",fear
SID-07442602-N,noun,a feeling of affection for a person or an institution,love
SID-01827373-A,adjective,preventing realization or attainment of a desire,sadness
SID-13790407-N,noun,a state of extreme confusion and disorder,anger
SID-00328768-R,adverb,"in an ineffective manner; ""he dealt with the problem rather ineffectively""",disgust
SID-02738211-V,verb,"emit light; be bright, as of the sun or a light; ""The sun shone bright that day""; ""The fire beamed on their faces""",like
SID-01520789-A,adjective,"having or bringing good fortune; ""my lucky day""",joy
SID-07449961-N,noun,a feeling of resentful anger,disgust
SID-06562805-N,noun,"an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job""",anticipation
SID-10281859-N,noun,a person who brings an action in a court of law,calmness
SID-01536161-V,verb,"remove or make invisible; ""Please delete my name from your list""",disgust
SID-00822551-N,noun,"the act of smoking tobacco or other substances; ""he went outside for a smoke""; ""smoking stinks""",disgust
SID-00212869-R,adverb,"in a protective manner; ""he bent protectively over the woman""",love
SID-00340450-N,noun,the act of closing something,disgust
SID-01639788-V,verb,"make by combining materials and parts; ""this little pig made his house out of straw""; ""Some eccentric constructed an electric brassiere warmer""",hope
SID-00741013-A,adjective,"exultantly proud and joyful; in high spirits; ""the elated winner""; ""felt elated and excited""",joy
SID-03057057-N,noun,contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse,calmness
SID-00022744-A,adjective,"helpful in bringing about a harmonious adaptation; ""the warden was always accommodating in allowing visitors in""; ""made a special effort to be accommodating""",like
SID-00347641-R,adverb,"with respect to function; ""the two units are functionally interdependent""",like
SID-00724067-V,verb,"accept as inevitable; ""He resigned himself to his fate""",sadness
SID-06666084-N,noun,a statement that deviates from or perverts the truth,fear
SID-00425685-R,adverb,"in a quiet and tranquil manner; ""the sea now shimmered placidly before our eyes""",calmness
SID-07398301-N,noun,a feeling of favorable regard,like
SID-00232370-R,adverb,"in a cheerful manner; ""he cheerfully agreed to do it""",joy
SID-00216949-A,adjective,causing to become tranquil,calmness
SID-01385606-A,adjective,"mentally quick and resourceful; ""an apt pupil""; ""you are a clever man...you reason well and your wit is bold""-Bram Stoker",like
SID-00247261-N,noun,"the act of making something clean; ""he gave his shoes a good cleaning""",like
SID-01424625-A,adjective,"having or proceeding from an innately kind disposition; ""a generous and kindhearted teacher""",like
SID-00232202-R,adverb,"showing disapproval; in a disparaging way; ""he reviewed the play unfavorably""",disgust
SID-02381760-A,adjective,"vibrating slightly and irregularly; as e.g. with fear or cold or like the leaves of an aspen in a breeze; ""a quaking bog""; ""the quaking child asked for more""; ""quivering leaves of a poplar tree""; ""with shaking knees""; ""seemed shaky on her feet""; ""sparkling light from the shivering crystals of the chandelier""; ""trembling hands""",like
SID-00079713-N,noun,"searching for or buying goods or services; ""went shopping for a reliable plumber""; ""does her shopping at the mall rather than down town""",like
SID-00228944-R,adverb,"with anger; ""he angrily denied the accusation""",disgust
SID-00371853-R,adverb,"in an adequate manner or to an adequate degree; ""he was adequately prepared""",like
SID-02048615-V,verb,"move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi""",anticipation
SID-01799075-V,verb,"excite pleasurably or erotically; ""A titillating story appeared in the usually conservative magazine""",joy
SID-00502545-A,adjective,"providing or experiencing physical discomfort; ""an uncomfortable chair""; ""an uncomfortable day in the hot sun""",disgust
SID-08504598-N,noun,"the position of a prominent or well-known object in a particular landscape; ""the church steeple provided a convenient landmark""",joy
SID-02017642-A,adjective,"marked by refinement in taste and manners; ""cultivated speech""; ""cultured Bostonians""; ""cultured tastes""; ""a genteel old lady""; ""polite society""",like
SID-02129576-V,verb,"demonstrate the guilt of (someone); ""Her strange behavior condemned her""",disgust
SID-07083393-N,noun,"a disagreement or argument about something important; ""he had a dispute with his wife""; ""there were irreconcilable differences""; ""the familiar conflict between Republicans and Democrats""",disgust
SID-00216744-N,noun,unlawful premeditated killing of a human being by a human being,fear
SID-01546580-A,adjective,"fully developed or matured and ready to be eaten or used; ""ripe peaches""; ""full-bodied mature wines""",anticipation
SID-00883009-V,verb,express gratitude or show appreciation to,like
SID-07390403-N,noun,a feeling of freedom from worry or disappointment,like
SID-00401967-V,verb,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc; ""Get the children ready for school!""; ""prepare for war""; ""I was fixing to leave town after I paid the hotel bill""",anticipation
SID-04941838-N,noun,more than average fatness,disgust
SID-02606969-V,verb,"be without; ""This soup lacks salt""; ""There is something missing in my jewellery box!""",disgust
SID-00951604-A,adjective,"having an irregular outline; ""text set with ragged right margins""; ""herded the class into a ragged line""",disgust
SID-07371509-N,noun,"a successful ending of a struggle or contest; ""a narrow victory""; ""the general always gets credit for his army's victory""; ""clinched a victory""; ""convincing victory""; ""the agreement was a triumph for common sense""",joy
SID-10072498-N,noun,a public official authorized to decide questions brought before a court of justice,disgust
SID-00350229-R,adverb,"in a joyous and gleeful manner; ""the old man had greeted her gleefully""",joy
SID-00947769-A,adjective,tending to produce euphoria,joy
SID-01924053-A,adjective,"confined to particular persons or groups or providing privacy; ""a private place""; ""private discussions""; ""private lessons""; ""a private club""; ""a private secretary""; ""private property""; ""the former President is now a private citizen""; ""public figures struggle to maintain a private life""",like
SID-01883752-A,adjective,possessing no distinctive quality or characteristics,love
SID-07406373-N,noun,a feeling of self-respect and personal worth,joy
SID-02585865-A,adjective,"having a specified value; ""not worth his salt""; ""worth her weight in gold""",anticipation
SID-00085475-A,adjective,"experiencing or showing fear; ""a fearful glance""; ""fearful of criticism""",fear
SID-00462284-A,adjective,showing mental alertness and calculation and resourcefulness,like
SID-00927507-A,adjective,"showing extreme cupidity; painfully desirous of another's advantages; ""he was never covetous before he met her""; ""jealous of his success and covetous of his possessions""; ""envious of their art collection""",disgust
SID-00362675-R,adverb,"in a hysterical manner; ""she screamed hysterically when she heard the news""",fear
SID-07435828-N,noun,a feeling of sorrow (often self-indulgent) over your own sufferings,sadness
SID-00892538-A,adjective,"of more than usual emotion; ""his behavior was highly emotional""",like
SID-00635699-A,adjective,"suited to your comfort or purpose or needs; ""a convenient excuse for not going""",like
SID-14249534-N,noun,"a state of extreme dishonor; ""a date which will live in infamy""- F.D.Roosevelt; ""the name was a by-word of scorn and opprobrium throughout the city""",disgust
SID-00379845-R,adverb,"in a tentative and self-conscious manner; ""she always acts very insecurely in the presence of her father""",anger
SID-02707966-V,verb,"be worth it; ""It pays to go through the trouble""",anticipation
SID-00793809-V,verb,"consent to, give permission; ""She permitted her son to visit her estranged husband""; ""I won't let the police search her basement""; ""I cannot allow you to see your exam""",anticipation
SID-01424808-A,adjective,"lacking kindness; ""a thoughtless and unkind remark""; ""the unkindest cut of all""",fear
SID-00247250-A,adjective,not malicious or spiteful,like
SID-00958706-A,adjective,"as if under the influence of alcohol; ""felt intoxicated by her success""; ""drunk with excitement""",disgust
SID-02081905-V,verb,"cause to move by means of an air current; ""The wind blew the leaves around in the yard""",disgust
SID-03175104-N,noun,an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease,disgust
SID-14245690-N,noun,the state or quality of being widely honored and acclaimed,like
SID-01868481-A,adjective,"causing discomfort; ""the unhappy truth""",sadness
SID-03686351-N,noun,the most outstanding work of a creative artist or craftsman,like
SID-01398039-V,verb,"deliver a sharp blow, as with the hand, fist, or weapon; ""The teacher struck the child""; ""the opponent refused to strike""; ""The boxer struck the attacker dead""",fear
SID-01025831-V,verb,"put in a dangerous, disadvantageous, or difficult position",disgust
SID-00140702-R,adverb,"in an inappropriate manner; ""he was inappropriately dressed""",disgust
SID-07431816-N,noun,sadness expressed by weeping,sadness
SID-01558102-V,verb,"cut the head of; ""the French King was beheaded during the Revolution""",fear
SID-13866201-N,noun,"condition in which there is a disturbance of normal functioning; ""the doctor prescribed some medicine for the disorder""; ""everyone gets stomach upsets from time to time""",disgust
SID-02256576-A,adjective,"not pretended; sincerely felt or expressed; ""genuine emotion""; ""her interest in people was unfeigned""; ""true grief""",like
SID-02671089-V,verb,"pose a threat to; present a danger to; ""The pollution is endangering the crops""",fear
SID-00905239-A,adjective,"giving courage or confidence or hope; ""encouraging advances in medical research""",hope
SID-01079621-V,verb,"be engaged in a fight; carry on a fight; ""the tribesmen fought each other""; ""Siblings are always fighting""; ""Militant groups are contending for control of the country""",fear
SID-10464570-N,noun,"a male human offspring; ""their son became a famous judge""; ""his boy is taller than he is""",love
SID-07430653-N,noun,a feeling of thoughtful sadness,sadness
SID-07423932-N,noun,"freedom from anxiety or fear; ""the watch dog gave her a feeling of security""",calmness
SID-02456360-A,adjective,"not sympathetic or disposed toward; ""unsympathetic officialdom""; ""people unsympathetic to the revolution""; ""his dignity made him seem aloof and unsympathetic""",disgust
SID-03963493-N,noun,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,fear
SID-00174330-A,adjective,"feeling shame or guilt or embarrassment or remorse; ""are you ashamed for having lied?""; ""felt ashamed of my torn coat""",disgust
SID-00654640-N,noun,therapeutic exposure to sunlight,disgust
SID-00220458-R,adverb,"in an admirable manner; ""the children's responses were admirably normal""",like
SID-14333555-N,noun,"the general atmosphere of a place or situation and the effect that it has on people; ""the feel of the city excited him""; ""a clergyman improved the tone of the meeting""; ""it had the smell of treason""",ambiguous
SID-04693851-N,noun,"a difference between conflicting facts or claims or opinions; ""a growing divergence of opinion""",disgust
SID-07448078-N,noun,feeling a need to see others suffer,disgust
SID-01813790-A,adjective,"without fault or error; ""faultless logic""; ""speaks impeccable French""; ""timing and technique were immaculate""; ""an immaculate record""",love
SID-01196711-A,adjective,"very unhappy; full of misery; ""he felt depressed and miserable""; ""a message of hope for suffering humanity""; ""wretched prisoners huddled in stinking cages""",sadness
SID-04009465-N,noun,a pad (usually made of hair) worn as part of a woman's coiffure,fear
SID-01991742-A,adjective,"characterized by an absence or near absence of agitation or activity; ""a quiet life""; ""a quiet throng of onlookers""; ""quiet peace-loving people""; ""the factions remained quiet for almost 10 years""",like
SID-01201252-V,verb,"take hold of; grab; ""The sales clerk quickly seized the money on the counter""; ""She clutched her purse""; ""The mother seized her child by the arm""; ""Birds of prey often seize small mammals""",disgust
SID-00406800-R,adverb,"with sadness; in a sad manner; ""`She died last night,' he said sadly""",sadness
SID-00877519-A,adjective,"marked by qualities giving the power to produce an intended effect; ""written propaganda is less efficacious than the habits and prejudices...of the readers""-Aldous Huxley; ""the medicine is efficacious in stopping a cough""",anticipation
SID-00153928-A,adjective,"not suitable for a particular occasion etc; ""noise seems inappropriate at a time of sadness""; ""inappropriate shoes for a walk on the beach""; ""put inappropriate pressure on them""",disgust
SID-00002098-A,adjective,"(usually followed by `to') not having the necessary means or skill or know-how; ""unable to get to town without a car""; ""unable to obtain funds""",disgust
SID-00241641-A,adjective,"displeasing to the senses; ""an ugly face""; ""ugly furniture""",disgust
SID-07451002-N,noun,sympathy arising from a kind heart,like
SID-01396248-A,adjective,"so lacking in interest as to cause mental weariness; ""a boring evening with uninteresting people""; ""the deadening effect of some routine tasks""; ""a dull play""; ""his competent but dull performance""; ""a ho-hum speaker who couldn't capture their attention""; ""what an irksome task the writing of long letters is""- Edmund Burke; ""tedious days on the train""; ""the tiresome chirping of a cricket""- Mark Twain; ""other people's dreams are dreadfully wearisome""",disgust
SID-01108404-V,verb,"launch an attack or assault on; begin hostilities or start warfare with; ""Hitler attacked Poland on September 1, 1939 and started World War II""; ""Serbian forces assailed Bosnian towns all week""",fear
SID-00354455-V,verb,"pass from physical life and lose all bodily attributes and functions necessary to sustain life; ""She died from cancer""; ""They children perished in the fire""; ""The patient went peacefully""; ""The old guy kicked the bucket at the age of 102""",sadness
SID-00548272-N,noun,the act of surprising someone,surprise
SID-00401321-A,adjective,of a light brownish green color,disgust
SID-00424400-N,noun,an activity that is diverting and that holds the attention,joy
SID-02596927-A,adjective,abstaining (on principle) from the use of violence,like
SID-02665316-A,adjective,"affected by wear; damaged by long use; ""worn threads on the screw""; ""a worn suit""; ""the worn pockets on the jacket""",disgust
SID-00358729-R,adverb,"in a hideous manner; ""her face was hideously disfigured after the accident""",fear
SID-01960139-A,adjective,"feeling pleasurable satisfaction over something by which you measures your self-worth; ""proud of their child""",joy
SID-01775923-A,adjective,"lacking a surface finish such as paint; ""bare wood""; ""unfinished furniture""",disgust
SID-01204704-A,adjective,lacking in feeling or pity or warmth,fear
SID-02510245-V,verb,"make amorous advances towards; ""John is courting Mary""",anticipation
SID-01744362-V,verb,"arouse or excite feelings and passions; ""The ostentatious way of living of the rich ignites the hatred of the poor""; ""The refugees' fate stirred up compassion around the world""; ""Wake old feelings of hatred""",ambiguous
SID-00361060-R,adverb,"in a huffy manner; ""`Don't bother to call me back,' he said huffily""",disgust
SID-00015518-V,verb,"take a siesta; ""She naps everyday after lunch for an hour""",like
SID-00246894-R,adverb,"in an emotionally fierce manner; ""she was fiercely proud of her children""",anticipation
SID-10316181-N,noun,a male member of a royal family other than the sovereign (especially the son of a sovereign),like
SID-01800794-V,verb,give encouragement to,joy
SID-07427277-N,noun,a feeling facetious merriment,joy
SID-01172337-V,verb,fill or meet a want or need,joy
SID-09876684-N,noun,person who makes a gift of property,hope
SID-01178680-N,noun,a judgment of not guilty,like
SID-01997376-V,verb,"move out of or depart from; ""leave the room""; ""the fugitive has left the country""",sadness
SID-10119723-N,noun,a person with a record of failing; someone who loses consistently,disgust
SID-07432548-N,noun,intense sorrow caused by loss of a loved one (especially by death),sadness
SID-01418536-A,adjective,"offering fun and gaiety; ""a festive (or festal) occasion""; ""gay and exciting night life""; ""a merry evening""",joy
SID-06687271-N,noun,"a humorous anecdote or remark intended to provoke laughter; ""he told a very funny joke""; ""he knows a million gags""; ""thanks for the laugh""; ""he laughed unpleasantly at his own jest""; ""even a schoolboy's jape is supposed to have some ascertainable point""",ambiguous
SID-10865599-N,noun,United States blues musician who transcribed and published traditional blues music (1873-1958),like
SID-14584757-N,noun,an agent that makes things white or colorless,disgust
SID-04744167-N,noun,"the quality of being exotic; ""he loved the exoticism of Egypt""",like
SID-02448853-A,adjective,having or denoting the characteristic taste of sugar,like
SID-00081488-V,verb,"lessen pain or discomfort; alleviate; ""ease the pain in your legs""",hope
SID-00716538-V,verb,"affect with wonder; ""Your ability to speak six languages amazes me!""",surprise
SID-00201799-R,adverb,"with hope; in a hopeful manner; ""we searched hopefully for a good position""",hope
SID-01105450-A,adjective,hampered and not free; not able to act at will,disgust
SID-03045684-N,noun,articles of commerce,like
SID-04895530-N,noun,"the visual effect of illumination on objects or scenes as created in pictures; ""he could paint the lightest light and the darkest dark""",like
SID-02194886-A,adjective,"concerned with work or important matters rather than play or trivialities; ""a serious student of history""; ""a serious attempt to learn to ski""; ""gave me a serious look""; ""a serious young man""; ""are you serious or joking?""; ""Don't be so serious!""",anticipation
SID-14216559-N,noun,"a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome; ""grappling with financial difficulties""",disgust
SID-07392250-N,noun,"emotional distress; a fundamental feeling that people try to avoid; ""the pain of loneliness""",disgust
SID-02717608-V,verb,"be cleanable; ""This stove cleans easily""",like
SID-07429996-N,noun,emotions experienced when not in a state of well-being,sadness
SID-00503402-A,adjective,"characterized by physical misery; ""a wet miserable weekend""; ""spent a wretched night on the floor""",sadness
SID-00374590-R,adverb,"in an indignant manner; ""Miss Burney protested indignantly, her long thin nose turning pink with mortification at this irreverent piece of mimicry""",disgust
SID-10346400-N,noun,a person who has radical ideas or opinions,fear
SID-01419279-A,adjective,"not experiencing or inspiring joy; ""a joyless man""; ""a joyless occasion""; ""joyless evenings""",joy
SID-02546356-A,adjective,believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others,sadness
SID-01414718-A,adjective,"full of or producing joy; ""make a joyful noise""; ""a joyful occasion""",joy
SID-02544497-A,adjective,"not in accordance with the fact or reality or actuality; ""gave false testimony under oath""; ""false tales of bravery""",disgust
SID-05332817-N,noun,the liquid parts of the body,joy
SID-01473527-A,adjective,versed in literature; dealing with literature,like
SID-00026318-V,verb,"become less tense, rest, or take one's ease; ""He relaxed in the hot tub""; ""Let's all relax after a hard day's work""",like
SID-00666288-V,verb,consider bad or wrong,disgust
SID-00350432-R,adverb,"in a joyless manner; without joy; ""she greeted her guests joylessly""",joy
SID-02504178-V,verb,"be unsuccessful; ""Where do today's public schools fail?""; ""The attempt to rescue the hostages failed miserably""",disgust
SID-05571442-N,noun,the expertness characteristic of a professional person,anticipation
SID-00416542-R,adverb,"with optimism; in an optimistic manner; ""`We have a good chance of winning,' he exclaimed optimistically""",hope
SID-02095396-A,adjective,"having an abundant supply of desirable qualities or substances (especially natural resources); ""blessed with a land rich in minerals""; ""rich in ideas""; ""rich with cultural interest""",like
SID-00879718-A,adjective,"not producing desired results; wasteful; ""an inefficient campaign against drugs""; ""outdated and inefficient design and methods""",disgust
SID-07408052-N,noun,"an overwhelming feeling of wonder or admiration; ""he stared over the edge with a feeling of awe""",surprise
SID-00230278-V,verb,"place limits on  (extent or access); ""restrict the use of this parking lot""; ""limit the time you can spend with your friends""",disgust
SID-02317174-V,verb,"provide with (something) usually for a specific purpose; ""The expedition was equipped with proper clothing, food, and other necessities""",like
SID-01804627-A,adjective,"disposed to peace or of a peaceful nature; ""the pacific temper seeks to settle disputes on grounds of justice rather than by force""; ""a quiet and peaceable person""; ""in a peaceable and orderly manner""",calmness
SID-01685180-A,adjective,"grossly offensive to decency or morality; causing horror; ""subjected to outrageous cruelty""; ""a hideous pattern of injustice""; ""horrific conditions in the mining industry""",fear
SID-00442781-R,adverb,"in a pleasantly novel manner; ""she was refreshingly free from shyness""",like
SID-02416585-V,verb,"be in charge of; ""Who is heading this project?""",anticipation
SID-02545885-V,verb,"treat with excessive indulgence; ""grandparents often pamper the children""; ""Let's not mollycoddle our students!""",like
SID-00325964-A,adjective,"(especially of weather) affected or characterized by storms or commotion; ""a stormy day""; ""wide and stormy seas""",anger
SID-14212977-N,noun,"a state of depression; ""he had a bad case of the blues""",sadness
SID-14272246-N,noun,"an imperfection in a device or machine; ""if there are any defects you should send it back to the manufacturer""",disgust
SID-01868574-A,adjective,experiencing or manifesting pleasure,like
SID-00085363-N,noun,"a grant made by a law court; ""he criticized the awarding of compensation by the court""",like
SID-01725399-A,adjective,confidently optimistic and cheerful,hope
SID-01341808-A,adjective,"unwilling because of mild dislike or disapproval; ""disinclined to say anything to anybody""",disgust
SID-02466998-V,verb,"have a celebration; ""They were feting the patriarch of the family""; ""After the exam, the students were celebrating""",like
SID-02098381-A,adjective,"lacking in mineral content or combustible material; ""lean ore""; ""lean fuel""",disgust
SID-01142505-V,verb,"take revenge for a perceived wrong; ""He wants to avenge the murder of his brother""",fear
SID-00166429-A,adjective,"marked by skill in achieving a desired end especially with cunning or craft; ""the artful dodger""; ""an artful choice of metaphors""",disgust
SID-02212742-A,adjective,"not having or involving sex; ""an asexual spore""; ""asexual reproduction""",hate
SID-00834507-V,verb,"blame for, make a claim of wrongdoing or misbehavior against; ""he charged thee director with indifference""",disgust
SID-00135183-A,adjective,"full of or marked by resentment or indignant ill will; ""resentful at the way he was treated""; ""a sullen resentful attitude""",disgust
SID-02257286-V,verb,"make a profit; gain money or materially; ""The company has not profited from the merger""",like
SID-00135760-A,adjective,"not resentful; ""completely unresentful and forgiving""",like
SID-00878282-A,adjective,"being effective without wasting time or effort or expense; ""an efficient production manager""; ""efficient engines save gas""",like
SID-01833977-A,adjective,expressing disapproval,disgust
SID-07428460-N,noun,the cheerful feeling you have when nothing is troubling you,joy
SID-02186472-A,adjective,"being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling""",disgust
SID-08066322-N,noun,"people who have possessions and wealth (considered as a group); ""only the very rich benefit from this legislation""",like
SID-07447391-N,noun,an envious eagerness to possess something,disgust
SID-00683847-V,verb,"consider (oneself) as similar to somebody else; ""He identified with the refugees""",like
SID-00873642-V,verb,express a good opinion of,anticipation
SID-07400867-N,noun,"lack of respect accompanied by a feeling of intense dislike; ""he was held in contempt""; ""the despite in which outsiders were held is legendary""",disgust
SID-00261702-N,noun,"a renovation that improves the outward appearance (as of a building) but usually does not involve major changes; ""give your home a facelift""; ""more than a facelift, the new model marks a fundamental change of direction""",anticipation
SID-07414800-N,noun,intense anger (usually on an epic scale),disgust
SID-01039201-V,verb,"recite with musical intonation; recite as a chant or a psalm; ""The rabbi chanted a prayer""",like
SID-01690713-A,adjective,feeling regret for a fault or offence,sadness
SID-01634018-A,adjective,"possessing or using or characteristic of or appropriate to supernatural powers; ""charming incantations""; ""magic signs that protect against adverse influence""; ""a magical spell""; ""'tis now the very witching time of night""- Shakespeare; ""wizard wands""; ""wizardly powers""",love
SID-02153676-A,adjective,"not up to expectations; ""a disappointing performance from one who had seemed so promising""",disgust
SID-02329001-V,verb,price excessively high,disgust
SID-00385574-A,adjective,"being full of or promoting cheer; having or showing good spirits; ""her cheerful nature""; ""a cheerful greeting""; ""a cheerful room""; ""as cheerful as anyone confined to a hospital bed could be""",joy
SID-00245814-A,adjective,"showing malicious ill will and a desire to hurt; motivated by spite; ""a despiteful fiend""; ""a truly spiteful child""; ""a vindictive man will look for occasions for resentment""",disgust
SID-00172249-A,adjective,"unable to express yourself clearly or fluently; ""felt tongue-tied with embarrassment""; ""incoherent with grief""",disgust
SID-02548293-A,adjective,"worthy of being depended on; ""a dependable worker""; ""an honest working stiff""; ""a reliable source of information""; ""he was true to his word""; ""I would be true for there are those who trust me""",like
SID-00330883-R,adverb,"in an encouraging manner; ""`Go on,' he said encouragingly to his student""",hope
SID-00925840-A,adjective,"not enthusiastic; lacking excitement or ardor; ""an unenthusiastic performance by the orchestra""; ""unenthusiastic applause""",sadness
SID-00906526-A,adjective,discouraging by hindering,disgust
SID-10279623-N,noun,someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation,fear
SID-02385061-A,adjective,"lacking significance or liveliness or spirit or zest; ""a vapid conversation""; ""a vapid smile""; ""a bunch of vapid schoolgirls""",disgust
SID-07127600-N,noun,a verbal commitment by one person to another agreeing to do (or not to do) something in the future,anticipation
SID-02202165-A,adjective,not able to perform its normal function,disgust
SID-02046995-A,adjective,"serving to bring to mind; ""cannot forbear to close on this redolent literary note""- Wilder Hobson; ""a campaign redolent of machine politics""",anticipation
SID-07434815-N,noun,a sudden numbing dread,fear
SID-06285245-N,noun,a story about a crime (usually murder) presented as a novel or play or movie,surprise
SID-01051890-A,adjective,"serving as a base or starting point; ""a basic course in Russian""; ""basic training for raw recruits""; ""a set of basic tools""; ""an introductory art course""",anticipation
SID-02716287-A,adjective,of or relating to antibiotic drugs,hope
SID-00451554-R,adverb,"in a sensational manner; ""in the summer of 1958 the pianist had a sensationally triumphant return""",ambiguous
SID-07420756-N,noun,a feeling of fear of embarrassment,fear
SID-01806564-A,adjective,feeling or expressing pain or sorrow for sins or offenses,sadness
SID-14107567-N,noun,an injury to the neck (the cervical vertebrae) resulting from rapid acceleration or deceleration (as in an automobile accident),disgust
SID-01197421-A,adjective,resisting weight or pressure,disgust
SID-10123300-N,noun,"a person regarded very fondly; ""the light of my life""",like
SID-00677586-V,verb,"refuse to accept or acknowledge; ""I reject the idea of starting a war""; ""The journal rejected the student's paper""",disgust
SID-00683574-A,adjective,"causing fear or anxiety by threatening great harm; ""a dangerous operation""; ""a grave situation""; ""a grave illness""; ""grievous bodily harm""; ""a serious wound""; ""a serious turn of events""; ""a severe case of pneumonia""; ""a life-threatening disease""",sadness
SID-00213478-R,adverb,"with a dim light; ""a dimly lit room""",disgust
SID-01175085-A,adjective,morally admirable,like
SID-00855139-V,verb,"express strong disapproval of; ""We condemn the racism in South Africa""; ""These ideas were reprobated""",disgust
SID-02539330-A,adjective,"afflicted with or marked by anxious uneasiness or trouble or grief; ""too upset to say anything""; ""spent many disquieted moments""; ""distressed about her son's leaving home""; ""lapsed into disturbed sleep""; ""worried parents""; ""a worried frown""; ""one last worried check of the sleeping children""",anger
SID-00951491-N,noun,"an act of aggression (as one against a person who resists); ""he may accomplish by craft in the long run what he cannot do by force and violence in the short one""",fear
SID-01452091-A,adjective,established by or founded upon law or official or accepted rules,like
SID-09485967-N,noun,a person who rules or guides or inspires others,hope
